Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
44,Entry long,2021-03-12,CB V3,364.06,317,115407.02,-1899.53,-1.65,22.89,1766.83,1.53,-1888.18,-1.64,14211.01,14.21,9
45,Exit long,2021-05-19,1 ATR stop,379.07,294,113772.12,-2348.06,-2.06,22.52,259.1,0.23,-2336.92,-2.05,11862.95,11.86,2
45,Entry long,2021-05-17,CB V3,386.98,294,113772.12,-2348.06,-2.06,22.52,259.1,0.23,-2336.92,-2.05,11862.95,11.86,2
46,Exit long,2021-10-04,1 ATR stop,401.11,274,111244,-1361.97,-1.22,22.11,232.74,0.21,-1350.98,-1.21,10500.98,10.50,0
46,Entry long,2021-10-04,CB V3,406,274,111244,-1361.97,-1.22,22.11,232.74,0.21,-1350.98,-1.21,10500.98,10.50,0
47,Exit short,2021-12-15,1 ATR stop,440.08,254,110363,-1439.53,-1.30,22.21,623.96,0.57,-1428.36,-1.29,9061.44,9.06,0
47,Entry short,2021-12-15,CB V3,434.5,254,110363,-1439.53,-1.30,22.21,623.96,0.57,-1428.36,-1.29,9061.44,9.06,0
48,Exit long,2022-01-10,1 ATR stop,434.89,247,108944.29,-1548.1,-1.42,21.64,2594.96,2.38,-1537.35,-1.41,7513.34,7.51,11
48,Entry long,2021-12-23,CB V3,441.07,247,108944.29,-1548.1,-1.42,21.64,2594.96,2.38,-1537.35,-1.41,7513.34,7.51,11
49,Exit short,2022-02-04,Margin call,426.04,24,10079.28,-147.71,-1.47,2.03,55.63,0.55,-146.69,-1.46,7355.93,7.36,0
49,Entry short,2022-02-04,CB V3,419.97,24,10079.28,-147.71,-1.47,2.03,55.63,0.55,-146.69,-1.46,7355.93,7.36,0
50,Exit short,2022-02-09,1 ATR stop,428.67,231,97013.07,-2029.3,-2.09,19.6,535.46,0.55,-2019.4,-2.08,5336.33,5.34,3
50,Entry short,2022-02-04,CB V3,419.97,231,97013.07,-2029.3,-2.09,19.6,535.46,0.55,-2019.4,-2.08,5336.33,5.34,3
51,Exit long,2022-02-11,1 ATR stop,416.55,244,103621.92,-2004.25,-1.93,20.53,1451.2,1.40,-1994.08,-1.92,3332.08,3.33,1
51,Entry long,2022-02-10,CB V3,424.68,244,103621.92,-2004.25,-1.93,20.53,1451.2,1.40,-1994.08,-1.92,3332.08,3.33,1
52,Exit short,2022-03-07,Margin call,406.77,1,406.04,-0.81,-0.20,0.08,0,0.00,-0.77,-0.19,3321,3.32,0
52,Entry short,2022-03-07,CB V3,406.04,1,406.04,-0.81,-0.20,0.08,0,0.00,-0.77,-0.19,3321,3.32,0
53,Exit short,2022-03-16,Margin call,409.95,12,4872.48,-47.9,-0.98,0.98,184.91,3.79,-47.41,-0.97,3273.59,3.27,7
53,Entry short,2022-03-07,CB V3,406.04,12,4872.48,-47.9,-0.98,0.98,184.91,3.79,-47.41,-0.97,3273.59,3.27,7
