Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
126,Exit long,2025-08-19 07:45,TX30,635.25,100,63671,-146,-0.23,0,15,0.02,-184,-0.29,-922,-0.92,2
126,Entry long,2025-08-19 07:15,C0|L|MKT|15|v0.3.0-tier0|SPY,636.71,100,63671,-146,-0.23,0,15,0.02,-184,-0.29,-922,-0.92,2
127,Exit short,2025-08-20 07:30,TX30,627,100,62842,142,0.23,0,170,0.27,-90,-0.14,-780,-0.78,2
127,Entry short,2025-08-20 07:00,C0|S|MKT|15|v0.3.0-tier0|SPY,628.42,100,62842,142,0.23,0,170,0.27,-90,-0.14,-780,-0.78,2
128,Exit short,2025-08-21 07:30,TX30,630.9,100,62816,-274,-0.44,0,50,0.08,-282,-0.45,-1054,-1.05,2
128,Entry short,2025-08-21 07:00,C0|S|MKT|15|v0.3.0-tier0|SPY,628.16,100,62816,-274,-0.44,0,50,0.08,-282,-0.45,-1054,-1.05,2
129,Exit long,2025-08-22 07:45,TX30,638.45,100,63764,81,0.13,0,92,0.14,-164,-0.26,-973,-0.97,2
129,Entry long,2025-08-22 07:15,C0|L|MKT|15|v0.3.0-tier0|SPY,637.64,100,63764,81,0.13,0,92,0.14,-164,-0.26,-973,-0.97,2
130,Exit long,2025-08-26 08:00,TX30,635.64,100,63600,-36,-0.06,0,13,0.02,-55,-0.09,-1009,-1.01,2
130,Entry long,2025-08-26 07:30,C0|L|MKT|15|v0.3.0-tier0|SPY,636,100,63600,-36,-0.06,0,13,0.02,-55,-0.09,-1009,-1.01,2
131,Exit long,2025-08-27 07:45,TX30,639.02,100,63876,26,0.04,0,56,0.09,-1,0.00,-983,-0.98,2
131,Entry long,2025-08-27 07:15,C0|L|MKT|15|v0.3.0-tier0|SPY,638.76,100,63876,26,0.04,0,56,0.09,-1,0.00,-983,-0.98,2
132,Exit short,2025-08-28 07:30,TX30,638.9,100,63886,-4,-0.01,0,35,0.05,-72,-0.11,-987,-0.99,2
132,Entry short,2025-08-28 07:00,C0|S|MKT|15|v0.3.0-tier0|SPY,638.86,100,63886,-4,-0.01,0,35,0.05,-72,-0.11,-987,-0.99,2
133,Exit short,2025-08-29 07:30,TX30,637.6,100,63843,83,0.13,0,184,0.29,-54,-0.08,-904,-0.90,2
133,Entry short,2025-08-29 07:00,C0|S|MKT|15|v0.3.0-tier0|SPY,638.43,100,63843,83,0.13,0,184,0.29,-54,-0.08,-904,-0.90,2
134,Exit long,2025-09-02 07:30,TX30,632.46,100,63200,46,0.07,0,112,0.18,-84,-0.13,-858,-0.86,2
134,Entry long,2025-09-02 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,632,100,63200,46,0.07,0,112,0.18,-84,-0.13,-858,-0.86,2
135,Exit short,2025-09-03 07:30,TX30,635.3,100,63494,-36,-0.06,0,38,0.06,-123,-0.19,-894,-0.89,2
135,Entry short,2025-09-03 07:00,C0|S|MKT|15|v0.3.0-tier0|SPY,634.94,100,63494,-36,-0.06,0,38,0.06,-123,-0.19,-894,-0.89,2
136,Exit short,2025-09-04 07:45,TX30,638.29,100,63686,-143,-0.22,0,41,0.06,-184,-0.29,-1037,-1.04,2
136,Entry short,2025-09-04 07:15,C0|S|MKT|15|v0.3.0-tier0|SPY,636.86,100,63686,-143,-0.22,0,41,0.06,-184,-0.29,-1037,-1.04,2
137,Exit short,2025-09-05 07:30,TX30,639.47,100,64392,445,0.69,0,494,0.77,-2,0.00,-592,-0.59,2
137,Entry short,2025-09-05 07:00,C0|S|MKT|15|v0.3.0-tier0|SPY,643.92,100,64392,445,0.69,0,494,0.77,-2,0.00,-592,-0.59,2
138,Exit short,2025-09-09 08:00,TX30,641.22,100,64164,42,0.07,0,151,0.24,-5,-0.01,-550,-0.55,2
138,Entry short,2025-09-09 07:30,C0|S|MKT|15|v0.3.0-tier0|SPY,641.64,100,64164,42,0.07,0,151,0.24,-5,-0.01,-550,-0.55,2
139,Exit long,2025-09-10 07:45,TX30,646.64,100,64721,-57,-0.09,0,17,0.03,-97,-0.15,-607,-0.61,2
139,Entry long,2025-09-10 07:15,C0|L|MKT|15|v0.3.0-tier0|SPY,647.21,100,64721,-57,-0.09,0,17,0.03,-97,-0.15,-607,-0.61,2
140,Exit long,2025-09-11 07:30,TX30,648.76,100,64838,38,0.06,0,68,0.10,-18,-0.03,-569,-0.57,2
