Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
29,Exit long,2025-09-18 07:45,TX30,656.21,100,65633,-12,-0.02,0,127,0.19,-12,-0.02,348,0.35,2
29,Entry long,2025-09-18 07:15,C4|L|MKT|15,656.33,100,65633,-12,-0.02,0,127,0.19,-12,-0.02,348,0.35,2
30,Exit long,2025-09-25 08:00,TX30,653.37,100,65308,29,0.04,0,60,0.09,-25,-0.04,377,0.38,2
30,Entry long,2025-09-25 07:30,C4|L|MKT|15,653.08,100,65308,29,0.04,0,60,0.09,-25,-0.04,377,0.38,2
31,Exit long,2025-10-17 07:45,TX30,654.92,100,65769,-277,-0.42,0,58,0.09,-304,-0.46,100,0.10,2
31,Entry long,2025-10-17 07:15,C4|L|MKT|15,657.69,100,65769,-277,-0.42,0,58,0.09,-304,-0.46,100,0.10,2
32,Exit short,2025-11-18 07:30,TX30,653.67,100,65323,-44,-0.07,0,182,0.28,-165,-0.25,56,0.06,2
32,Entry short,2025-11-18 07:00,C4|S|MKT|15,653.23,100,65323,-44,-0.07,0,182,0.28,-165,-0.25,56,0.06,2
33,Exit long,2026-01-06 07:30,TX30,686.99,100,68644,55,0.08,0,77,0.11,-10,-0.01,111,0.11,2
33,Entry long,2026-01-06 07:00,C4|L|MKT|15,686.44,100,68644,55,0.08,0,77,0.11,-10,-0.01,111,0.11,2
34,Exit long,2026-01-08 07:45,TX30,686.05,100,68604,1,0.00,0,33,0.05,-96,-0.14,112,0.11,2
34,Entry long,2026-01-08 07:15,C4|L|MKT|15,686.04,100,68604,1,0.00,0,33,0.05,-96,-0.14,112,0.11,2
35,Exit long,2026-01-09 08:00,TX30,688.26,100,68948,-122,-0.18,0,30,0.04,-184,-0.27,-10,-0.01,2
35,Entry long,2026-01-09 07:30,C4|L|MKT|15,689.48,100,68948,-122,-0.18,0,30,0.04,-184,-0.27,-10,-0.01,2
36,Exit short,2026-01-14 07:30,TX30,685.12,100,68502,-10,-0.01,0,98,0.14,-217,-0.32,-20,-0.02,2
36,Entry short,2026-01-14 07:00,C4|S|MKT|15,685.02,100,68502,-10,-0.01,0,98,0.14,-217,-0.32,-20,-0.02,2
37,Exit long,2026-01-20 08:00,TX30,680.19,100,68025,-6,-0.01,0,90,0.13,-92,-0.14,-26,-0.03,2
37,Entry long,2026-01-20 07:30,C4|L|MKT|15,680.25,100,68025,-6,-0.01,0,90,0.13,-92,-0.14,-26,-0.03,2
38,Exit long,2026-01-21 07:30,TX30,679.4,100,67888,52,0.08,0,92,0.14,-83,-0.12,26,0.03,2
38,Entry long,2026-01-21 07:00,C4|L|MKT|15,678.88,100,67888,52,0.08,0,92,0.14,-83,-0.12,26,0.03,2
39,Exit short,2026-01-29 07:30,TX30,685.36,100,68789,253,0.37,0,267,0.39,-9,-0.01,279,0.28,2
39,Entry short,2026-01-29 07:00,C4|S|MKT|15,687.89,100,68789,253,0.37,0,267,0.39,-9,-0.01,279,0.28,2
40,Exit short,2026-02-17 07:30,TX30,673.74,100,67301,-73,-0.11,0,31,0.05,-316,-0.47,206,0.21,2
40,Entry short,2026-02-17 07:00,C4|S|MKT|15,673.01,100,67301,-73,-0.11,0,31,0.05,-316,-0.47,206,0.21,2
41,Exit long,2026-02-20 07:45,TX30,684.42,100,68183,259,0.38,0,271,0.40,-125,-0.18,465,0.47,2
41,Entry long,2026-02-20 07:15,C4|L|MKT|15,681.83,100,68183,259,0.38,0,271,0.40,-125,-0.18,465,0.47,2
42,Exit short,2026-03-03 07:30,TX30,666.32,100,66880,248,0.37,0,268,0.40,-157,-0.23,713,0.71,2
42,Entry short,2026-03-03 07:00,C4|S|MKT|15,668.8,100,66880,248,0.37,0,268,0.40,-157,-0.23,713,0.71,2
43,Exit long,2026-03-04 08:00,TX30,682.2,100,68253,-33,-0.05,0,15,0.02,-226,-0.33,680,0.68,2
43,Entry long,2026-03-04 07:30,C4|L|MKT|15,682.53,100,68253,-33,-0.05,0,15,0.02,-226,-0.33,680,0.68,2
44,Exit long,2026-03-23 07:30,TX30,659.27,100,65850,77,0.12,0,207,0.31,-155,-0.24,757,0.76,2
44,Entry long,2026-03-23 07:00,C4|L|MKT|15,658.5,100,65850,77,0.12,0,207,0.31,-155,-0.24,757,0.76,2
45,Exit long,2026-03-26 07:30,TX30,651.93,100,65279,-86,-0.13,0,36,0.06,-110,-0.17,671,0.67,2
45,Entry long,2026-03-26 07:00,C4|L|MKT|15,652.79,100,65279,-86,-0.13,0,36,0.06,-110,-0.17,671,0.67,2
46,Exit short,2026-04-08 07:30,TX30,672.41,100,67289,48,0.07,0,58,0.09,-64,-0.10,719,0.72,2
46,Entry short,2026-04-08 07:00,C4|S|MKT|15,672.89,100,67289,48,0.07,0,58,0.09,-64,-0.10,719,0.72,2
47,Exit long,2026-05-20 08:00,TX30,737.29,100,73604,125,0.17,0,153,0.21,-49,-0.07,844,0.84,2
47,Entry long,2026-05-20 07:30,C4|L|MKT|15,736.04,100,73604,125,0.17,0,153,0.21,-49,-0.07,844,0.84,2
48,Exit long,2026-05-28 07:45,TX30,750.54,100,75109,-55,-0.07,0,43,0.06,-129,-0.17,789,0.79,2
48,Entry long,2026-05-28 07:15,C4|L|MKT|15,751.09,100,75109,-55,-0.07,0,43,0.06,-129,-0.17,789,0.79,2
49,Exit short,2026-06-03 07:30,TX30,754.87,100,75396,-91,-0.12,0,7,0.01,-108,-0.14,698,0.70,2
49,Entry short,2026-06-03 07:00,C4|S|MKT|15,753.96,100,75396,-91,-0.12,0,7,0.01,-108,-0.14,698,0.70,2
50,Exit short,2026-06-25 07:30,TX30,735.45,100,72984,-561,-0.77,0,21,0.03,-666,-0.91,137,0.14,2
50,Entry short,2026-06-25 07:00,C4|S|MKT|15,729.84,100,72984,-561,-0.77,0,21,0.03,-666,-0.91,137,0.14,2
