Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
108,Entry short,2026-06-17 07:00,C0|S|MKT|15,747.92,100,74792,-185,-0.25,0,22,0.03,-229,-0.31,-476,-0.48,2
109,Exit short,2026-06-22 08:00,TX30,744.74,100,74650,176,0.24,0,334,0.45,-9,-0.01,-300,-0.30,2
109,Entry short,2026-06-22 07:30,C0|S|MKT|15,746.5,100,74650,176,0.24,0,334,0.45,-9,-0.01,-300,-0.30,2
110,Exit long,2026-06-23 07:30,TX30,738.9,100,73716,174,0.24,0,247,0.34,-16,-0.02,-126,-0.13,2
110,Entry long,2026-06-23 07:00,C0|L|MKT|15,737.16,100,73716,174,0.24,0,247,0.34,-16,-0.02,-126,-0.13,2
111,Exit short,2026-06-25 07:30,TX30,735.45,100,72984,-561,-0.77,0,21,0.03,-666,-0.91,-687,-0.69,2
111,Entry short,2026-06-25 07:00,C0|S|MKT|15,729.84,100,72984,-561,-0.77,0,21,0.03,-666,-0.91,-687,-0.69,2
112,Exit long,2026-06-26 07:30,TX30,733.47,100,73089,258,0.35,0,334,0.46,-25,-0.03,-429,-0.43,2
112,Entry long,2026-06-26 07:00,C0|L|MKT|15,730.89,100,73089,258,0.35,0,334,0.46,-25,-0.03,-429,-0.43,2
113,Exit short,2026-06-29 07:45,TX30,737.05,100,73269,-436,-0.60,0,60,0.08,-514,-0.70,-865,-0.86,2
113,Entry short,2026-06-29 07:15,C0|S|MKT|15,732.69,100,73269,-436,-0.60,0,60,0.08,-514,-0.70,-865,-0.86,2
114,Exit long,2026-06-30 07:30,TX30,744.45,100,74393,52,0.07,0,65,0.09,-107,-0.14,-813,-0.81,2
114,Entry long,2026-06-30 07:00,C0|L|MKT|15,743.93,100,74393,52,0.07,0,65,0.09,-107,-0.14,-813,-0.81,2
115,Exit long,2026-07-01 07:30,TX30,746.82,100,74535,147,0.20,0,166,0.22,-35,-0.05,-666,-0.67,2
115,Entry long,2026-07-01 07:00,C0|L|MKT|15,745.35,100,74535,147,0.20,0,166,0.22,-35,-0.05,-666,-0.67,2
116,Exit long,2026-07-02 07:30,TX30,747.98,100,75079,-281,-0.37,0,45,0.06,-312,-0.42,-947,-0.95,2
116,Entry long,2026-07-02 07:00,C0|L|MKT|15,750.79,100,75079,-281,-0.37,0,45,0.06,-312,-0.42,-947,-0.95,2
117,Exit long,2026-07-06 08:00,TX30,750.27,100,74997,30,0.04,0,31,0.04,-87,-0.12,-917,-0.92,2
117,Entry long,2026-07-06 07:30,C0|L|MKT|15,749.97,100,74997,30,0.04,0,31,0.04,-87,-0.12,-917,-0.92,2
118,Exit short,2026-07-07 07:30,TX30,746.69,100,74881,212,0.28,0,273,0.36,-39,-0.05,-705,-0.70,2
118,Entry short,2026-07-07 07:00,C0|S|MKT|15,748.81,100,74881,212,0.28,0,273,0.36,-39,-0.05,-705,-0.70,2
119,Exit long,2026-07-09 07:30,TX30,747.85,100,74870,-85,-0.11,0,32,0.04,-311,-0.42,-790,-0.79,2
119,Entry long,2026-07-09 07:00,C0|L|MKT|15,748.7,100,74870,-85,-0.11,0,32,0.04,-311,-0.42,-790,-0.79,2
120,Exit long,2026-07-16 08:00,TX30,754.2,100,75433,-13,-0.02,0,24,0.03,-99,-0.13,-803,-0.80,2
120,Entry long,2026-07-16 07:30,C0|L|MKT|15,754.33,100,75433,-13,-0.02,0,24,0.03,-99,-0.13,-803,-0.80,2
121,Exit long,2026-07-17 07:30,TX30,746.36,100,74485,151,0.20,0,242,0.32,-15,-0.02,-652,-0.65,2
121,Entry long,2026-07-17 07:00,C0|L|MKT|15,744.85,100,74485,151,0.20,0,242,0.32,-15,-0.02,-652,-0.65,2
122,Exit short,2026-07-20 07:30,TX30,745.68,100,74570,2,0.00,0,143,0.19,-66,-0.09,-650,-0.65,2
122,Entry short,2026-07-20 07:00,C0|S|MKT|15,745.7,100,74570,2,0.00,0,143,0.19,-66,-0.09,-650,-0.65,2
123,Exit long,2026-07-21 08:00,TX30,746.76,100,74686,-10,-0.01,0,40,0.05,-108,-0.14,-660,-0.66,2
123,Entry long,2026-07-21 07:30,C0|L|MKT|15,746.86,100,74686,-10,-0.01,0,40,0.05,-108,-0.14,-660,-0.66,2
124,Exit long,2026-07-22 07:30,TX30,747.27,100,74878,-151,-0.20,0,60,0.08,-169,-0.23,-811,-0.81,2
124,Entry long,2026-07-22 07:00,C0|L|MKT|15,748.78,100,74878,-151,-0.20,0,60,0.08,-169,-0.23,-811,-0.81,2
