time,open,high,low,close,EMA 9,EMA 21,EMA 50,Selected long,Selected short,V4 long candidate,V4 short candidate,V2 candidate rejected by V3,CB bounded net,CB confidence,CB available votes,CB ATR %,CB structure pass,CB V2 candidate,CB stop-distance pass,CB extension pass,CB direct-risk pass,CB kill switch,CB V4 candidate,CB V4 blocked open position
1677076200,382.01475254,383.55420927,379.62429179,381.07769193,388.04794834048107,387.52760925860446,382.1915923420745,0,0,0,0,0,-1,0.125,8,1.506161440270521,1,0,1,1,1,0,0,0
1677162600,383.96536852,384.57732647,378.88802987,383.10480265,387.05931920238487,387.1255359305495,382.22740451101276,0,0,0,0,0,3,0.375,8,1.4972532010210142,1,0,1,1,1,0,0,0
1677249000,378.0943969,379.84421418,376.39238884,379.01233383,385.4499221279079,386.38797210322684,382.1013233078358,0,0,0,0,0,-3,0.375,8,1.5318206696579064,1,0,1,1,1,0,0,0
1677508200,382.34941705,383.70719876,379.36612203,380.30318264,384.4205742303263,385.83480942475165,382.03080798752853,0,0,0,0,0,3,0.375,8,1.5057558792503125,0,0,1,1,1,0,0,0
1677594600,379.82509049,381.78526831,378.79241144,378.89759172,383.31597772826103,385.2041532697742,381.9079367613509,0,0,0,0,0,1,0.125,8,1.4598091650379352,0,0,1,1,1,0,0,0
1677681000,378.08483506,379.30875097,376.14378093,377.44419158,382.1416204986088,384.4987022070675,381.7328879307097,0,0,0,0,0,-3,0.375,8,1.4206515204317336,0,0,1,1,1,0,0,0
1677767400,375.47445191,381.22111957,375.13978741,380.37967739,381.789231876887,384.12424540551586,381.67982085068184,0,0,0,0,0,3,0.375,8,1.4231926502647405,0,0,1,1,1,0,0,0
1677853800,382.19642756,386.72874115,381.54622223,386.48013324,382.72741214950963,384.3384170268326,381.868068395361,0,0,0,0,0,4,0.5,8,1.4180183092296672,0,0,1,1,1,0,0,0
1678113000,387.30245174,389.59729406,386.30802006,386.74786484,383.5315026876077,384.55745773712056,382.05943296181744,0,0,0,0,0,1,0.125,8,1.3765694551457142,0,0,1,1,1,0,0,0
1678199400,386.70005563,386.9391017,380.20278329,380.81952216,382.98910658208615,384.2176454119278,382.010809008805,0,0,0,0,0,-3,0.375,8,1.4244919307714758,0,0,1,1,1,0,0,0
1678285800,380.93426428,382.19642756,379.21313254,381.44104196,382.6794936576689,383.965226916298,381.9884652029695,0,0,0,0,0,-1,0.125,8,1.3764523527847654,0,0,1,1,1,0,0,0
1678372200,382.22511309,383.88887378,373.41865566,374.4035255,381.0243000261351,383.0959813329982,381.69101658716676,0,0,0,0,0,-3,0.375,8,1.5019093669429295,0,0,1,0,0,0,0,0
1678458600,373.85850044,375.93342038,367.48075114,369.00108419,378.61965685890806,381.8146270472711,381.19337217943473,0,0,0,0,0,-3,0.375,8,1.5786691961790156,1,0,1,0,0,1,0,0
1678714200,365.08072855,373.28478986,363.97155475,368.47518282,376.59076205112643,380.6019502993373,380.69461965553535,0,0,0,0,0,2,0.25,8,1.648535503704014,1,0,1,0,0,0,0,0
1678800600,373.38997013,376.21071383,370.09113429,374.56607683,376.18582500690115,380.05323452939757,380.45428464276927,0,0,0,0,0,2,0.25,8,1.6534047398529337,1,0,1,1,1,0,0,0
1678887000,368.9819605,372.42422399,366.89747872,372.22342529,375.39334506352094,379.34143368945234,380.1315058446215,0,0,0,0,0,2,0.25,8,1.6921252245926708,1,0,1,1,1,0,0,0
1678973400,369.8712119,379.09839042,369.36443422,378.75416407,376.06550886481676,379.2880455422294,380.07749244169514,0,0,0,0,0,-1,0.125,8,1.72773735231637,1,0,1,1,1,0,0,0
1679059800,377.42594984,378.55855403,372.94352477,374.32568582,375.7175442558534,378.8369219311176,379.8519313977071,0,0,0,0,0,1,0.125,8,1.7341858383504938,1,0,1,1,1,0,0,0
1679319000,375.10315141,378.3377922,374.40247254,377.92506355,376.1590481146827,378.75402571465236,379.776367952699,0,0,0,0,0,1,0.125,8,1.670808284735315,1,0,1,1,1,0,0,0
