time,open,high,low,close,Session VWAP,EMA 9,EMA 20,Long Fast-Alpha Signal,Short Fast-Alpha Signal,ACCEPT_STATE_DIR,EMA50,S_9_20_50,ORDERED_9_20_50,EXPANDING_9_20_50,ALIGNED_EXP_COUNT_9_20_50,SHOCK_RATIO,RECENT_SHOCK,S_10_22_55,ORDERED_10_22_55,Volume
1787600400,763.65,763.75,763.55,763.65,763.7837479204494,763.8745789486953,763.9674656701723,0,0,-1,764.0621055966751,0.5683817923210647,-1,1,4,0.5883642926463608,1.4776501682394423,0.588567177978966,-1,45220
1787600700,763.66,763.78,763.48,763.775,763.7809751488267,763.8546631589562,763.9491356063463,0,0,-1,764.0508465536683,0.598498059211578,-1,1,5,0.9092816382804385,1.4776501682394423,0.6229293907744944,-1,86337
1787601000,763.79,763.92,763.36,763.76,763.7780565218496,763.835730527165,763.9311226914562,0,0,-1,764.0394408064656,0.5915291745667639,-1,1,6,1.7083959305033602,1.7083959305033602,0.618363052610284,-1,97698
1787601300,763.75,763.95,763.39,763.48,763.7623927711858,763.764584421732,763.8881586256032,0,0,-1,764.01750195131,0.7029771494765592,-1,1,7,1.6261149849420309,1.7083959305033602,0.7209630190363254,-1,339982
1787664600,766.17,766.77,765.9,766.72,766.4633333333335,764.3556675373857,764.1578578041172,0,0,,764.123482266945,0.4079996946360079,1,0,0,9.144462329823297,9.144462329823297,0.31460377083392094,1,108692
1787664900,766.68,766.7,766.14,766.14,766.4221042487168,764.7125340299085,764.3466332513441,0,0,,764.2025613937315,0.894905763180789,1,1,1,1.0191853360884473,9.144462329823297,0.7704180284606007,1,46955
1787665200,766.15,766.63,765.87,766.149,766.375472070398,764.9998272239268,764.5182872274065,0,0,,764.2788923194674,1.2356558328677563,1,1,2,1.3336566156095928,9.144462329823297,1.1014321357179413,1,45609
1787665500,766.15,766.7,766.12,766.46,766.3860083672048,765.2918617791414,764.7032122533678,0,0,0,764.3644259539981,1.5902611335464742,1,1,3,0.9940986053391571,9.144462329823297,1.4480761751840654,1,52154
1787665800,766.46,766.53,766,766.01,766.3524870326684,765.4354894233131,764.8276682292376,0,0,-1,764.4289582695276,1.7372034621038173,1,1,4,0.9087835275818985,1.3336566156095928,1.6095471808238615,1,49248
1787666100,766.03,766.07,765.51,765.69,766.2905895976749,765.4863915386505,764.9097950645483,0,0,-1,764.4784108864088,1.7438753708152281,1,1,5,0.9665214386255506,1.3336566156095928,1.6422315595045922,1,35087
1787666400,765.68,765.81,765.23,765.46,766.1688719199278,765.4811132309204,764.9621955345914,0,0,-1,764.5169045771379,1.6677370833048237,1,0,0,1.0034396124799438,1.0034396124799438,1.59578137011572,1,61461
1787666700,765.465,765.58,765.12,765.349,766.0850253438089,765.4546905847363,764.9990340551064,0,0,-1,764.5495357701913,1.5887872179142706,1,0,0,0.7956359397011945,1.0034396124799438,1.5435716474350338,1,45518
1787667000,765.31,765.53,765.1,765.17,766.0139552618414,765.397752467789,765.0153165260487,0,0,-1,764.573867700772,1.4719200757333717,1,0,0,0.7547642599088537,1.0034396124799438,1.4532581949838679,1,42295
1787667300,765.17,765.63,765.07,765.42,765.9580295132579,765.4022019742312,765.0538578092821,0,0,-1,764.6070493595653,1.4205402541988763,1,0,0,1.0004739441839507,1.0034396124799438,1.4160629300787095,1,46583
1787667600,765.44,765.49,764.84,765.13,765.8934485957684,765.347761579385,765.0611094464933,0,0,-1,764.6275572278176,1.2719967584287393,1,0,0,1.1612250883652377,1.1612250883652377,1.287044962288076,1,46561
1787667900,765.09,765.18,764.69,764.7,765.8071869053679,765.218209263508,765.0267180706368,0,0,-1,764.6303981208445,1.04824577481948,1,0,0,0.8654188360200474,1.1612250883652377,1.089128112758395,1,52651
1787668200,764.7,764.88,763.07,764.3,765.4298610708578,765.0345674108064,764.9575068258142,0,0,-1,764.6174413317917,0.641743653757451,1,0,0,3.227779663763833,3.227779663763833,0.7003823070929583,1,177328
1787668500,764.35,765.05,764.33,765,765.3899313572371,765.0276539286451,764.9615537947843,0,0,-1,764.6324436325058,0.6014166340047329,1,0,0,1.1538663357012275,3.227779663763833,0.6572148978850995,1,54222
1787668800,765.03,765.03,764.17,764.32,765.3507264480738,764.8861231429161,764.9004534333762,0,0,-1,764.6201909410349,0.39595466677850977,0,0,0,1.308716676403903,3.227779663763833,0.46348822006897034,1,40148
1787669100,764.35,764.47,764.18,764.24,765.3069139076943,764.7568985143329,764.837553106388,0,0,-1,764.6052814923669,0.23529713680281242,0,0,0,0.4317899545581401,3.227779663763833,0.3141709705194969,0,39227
1787669400,764.19,764.8,764.04,764.66,765.2852422179488,764.7375188114663,764.820643286732,0,1,-1,764.6074273161956,0.19933612354801372,0,0,0,1.179457435921996,1.308716676403903,0.27061857454614735,0,26046
1787669700,764.66,764.84,764.48,764.72,765.2522564182312,764.7340150491731,764.8110582118052,0,0,-1,764.6118419312468,0.19339693952453593,0,0,0,0.5516194915584404,1.308716676403903,0.2593766265599551,0,55900
1787670000,764.715,764.77,764.3,764.36,765.2324777101312,764.6592120393385,764.7681002868713,0,0,-1,764.6019657770802,0.0923072953980452,0,0,0,0.7439980506297897,1.179457435921996,0.16145052059240864,0,26841
1787670300,764.45,764.77,764.4,764.61,765.2210859954874,764.6493696314708,764.7530431166931,0,0,-1,764.6022808446456,0.07781234198718044,0,0,0,0.661108509450108,1.179457435921996,0.1416562479177197,0,19100
1787670600,764.62,764.8,764.4,764.599,765.2124767826683,764.6392957051767,764.7383723436748,0,0,-1,764.6021521840713,0.0629013705164483,0,0,0,0.6609840451069403,0.7439980506297897,0.12226456751674918,0,15055
1787670900,764.6,764.92,764.5,764.91,765.2026917941062,764.6934365641413,764.7547178347534,0,0,-1,764.6142246474411,0.1369677542718591,0,1,0,0.711256629170272,0.7439980506297897,0.18414407188624263,0,24959
1787671200,764.91,765.16,764.68,764.77,765.1922739306801,764.7087492513131,764.7561732790625,0,0,-1,764.6203334847963,0.15476185535928216,0,1,0,0.82998271963746,0.82998271963746,0.19675833979378626,0,35935
1787671500,764.76,765.39,764.66,765.36,765.1898605908391,764.8389994010505,764.8136805858185,0,0,0,764.6493400148044,0.3255186035322365,1,1,1,1.2777828984935469,1.2777828984935469,0.34763487469100346,1,52064
1787671800,765.32,765.78,765.04,765.08,765.1953589519809,764.8871995208405,764.83904433955,0,0,-1,764.6662286416748,0.37208139613301294,1,1,2,1.2700861865134794,1.2777828984935469,0.38970171256892533,1,63035
1787672100,765.07,765.72,765.07,765.1,765.1983611960732,764.9297596166724,764.8638972595928,0,0,-1,764.6832392831777,0.4123196017250941,1,1,3,1.0945012682198878,1.2777828984935469,0.4275854167085082,1,38562
1787672400,765.155,765.21,764.91,765.19,765.1954809887613,764.9818076933379,764.8949546634411,0,0,-1,764.7031122524648,0.4833352962607289,1,1,4,0.5017674557065392,1.2777828984935469,0.4964187423654958,1,40672
1787672700,765.17,765.17,764.6,764.7,765.1891207042079,764.9254461546703,764.8763875526372,0,0,-1,764.7029902033486,0.38516147802615996,1,0,0,1.0232238600691683,1.2700861865134794,0.41021447109321413,1,23333
1787673000,764.7,765.31,764.62,765.23,765.1849894568093,764.9863569237363,764.9100649285765,0,0,0,764.7236572541976,0.44860187228492193,1,0,0,1.1946698582751212,1.1946698582751212,0.4677549261412657,1,42840
1787673300,765.22,765.6,765.21,765.46,765.1913026998888,765.081085538989,764.9624396972835,0,0,0,764.7525334403075,0.5747683076844858,1,1,1,0.665987629517719,1.1946698582751212,0.5859161231393293,1,38312
1787673600,765.46,765.85,765.43,765.55,765.2169887606472,765.1748684311912,765.0183978213516,0,0,1,764.7838066387268,0.6973347762548555,1,1,2,0.734747062022435,1.1946698582751212,0.7026322477068233,1,94532
1787673900,765.57,765.63,765.34,765.37,765.2198375840716,765.2138947449529,765.0518837431276,1,0,1,764.8067946136787,0.7518668668717554,1,1,3,0.5171230966837747,1.1946698582751212,0.7605640337979592,1,19353
1787674200,765.36,765.57,765.33,765.54,765.2227194374285,765.2791157959623,765.0983710056869,0,0,1,764.8355477660834,0.8531465309987212,1,1,4,0.44325224726514745,0.734747062022435,0.8616668032570066,1,17477
1787674500,765.54,765.59,765.41,765.49,765.2279992818491,765.3212926367698,765.1356690051452,0,0,1,764.8612125595704,0.928254359687108,1,1,5,0.346207042066948,0.734747062022435,0.9408743681836773,1,31006
1787674800,765.51,765.64,765.37,765.63,765.2318687987248,765.3830341094159,765.1827481475124,0,0,1,764.891361086646,1.025337847536093,1,1,6,0.5447501196772141,0.5447501196772141,1.0390092350902238,1,19775
1787675100,765.6,765.8,765.56,765.75,765.2363234327006,765.4564272875327,765.2367721334635,0,0,1,764.9250332008952,1.1491734693104114,1,1,7,0.5004974281939591,0.5447501196772141,1.1627863492143444,1,15534
1787675400,765.75,765.86,765.69,765.73,765.2411756851383,765.5111418300262,765.2837462159908,0,0,1,764.9566005263503,1.2559611440890335,1,1,8,0.3676357992970642,0.5447501196772141,1.2737776934184424,1,15376
1787675700,765.75,765.95,765.59,765.9,765.2482117543705,765.588913464021,765.3424370525631,0,0,1,764.9935965841404,1.3663331405636883,1,1,9,0.8153513703576133,0.8153513703576133,1.3841866600097537,1,20661
1787676000,765.895,765.91,765.51,765.57,765.2521456884614,765.5851307712168,765.3641097142238,0,0,1,765.0162006396642,1.313459990264106,1,1,10,0.9180543584369723,0.9180543584369723,1.3460957454147044,1,16074
1787676300,765.59,765.79,765.41,765.61,765.2587555533446,765.5901046169735,765.3875278366787,0,0,1,765.0394868890892,1.2824238313173768,1,0,0,0.8772866273374366,0.9180543584369723,1.3259875198659372,1,32537
1787676600,765.62,765.62,765.33,765.41,765.2601946655536,765.5540836935787,765.3896680427093,0,0,1,765.0540168150072,1.1923302780021992,1,0,0,0.6754285091963993,0.9180543584369723,1.2531162367696245,1,12881
1787676900,765.41,765.89,765.4,765.76,765.2645229683145,765.595266954863,765.4249377529275,0,0,1,765.081702430105,1.2099653970595439,1,0,0,1.1683274003070514,1.1683274003070514,1.2693222283160002,1,17999
1787677200,765.76,765.84,765.35,765.36,765.267773882926,765.5482135638904,765.4187532050296,0,0,1,765.0926160602969,1.0616818612108505,1,0,0,1.1544470382540883,1.1683274003070514,1.1353968160397363,1,22983
1787677500,765.35,765.39,764.94,765.11,765.2651956212844,765.4605708511123,765.3893481378839,0,0,0,765.0932977834225,0.8528957674951742,1,0,0,1.0486379617459491,1.1683274003070514,0.9448901102329661,1,38775
1787677800,765.12,765.32,764.96,765.26,765.2622099652293,765.4204566808899,765.3770292676093,0,0,0,765.099835125249,0.7533848605768201,1,0,0,0.8360059675206571,1.1683274003070514,0.8524318835920555,1,66147
1787678100,765.25,765.42,765.18,765.4,765.2626853551866,765.4163653447118,765.3792169564084,0,0,0,765.1116062968078,0.7391334398308905,1,0,0,0.5639432638177982,1.1544470382540883,0.8393202839136542,1,12701
1787678400,765.41,765.41,765.03,765.03,765.2614833472513,765.3390922757694,765.3459581986552,0,0,-1,765.1084060498742,0.5626344275180192,0,0,0,0.9216156470741553,1.0486379617459491,0.6745734699650103,1,21791
1787678700,765.02,765.02,764.64,764.82,765.2453242549893,765.2352738206156,765.2958669416405,0,0,-1,765.0970960087027,0.338189094072724,0,0,0,0.9511943154843318,0.9511943154843318,0.46326919236262576,0,74184
1787679000,764.83,764.94,764.74,764.84,765.2405930253918,765.1562190564924,765.2524510424366,0,1,-1,765.087013812283,0.17578933658084991,0,0,0,0.4894984070032685,0.9511943154843318,0.3101494375582475,0,23576
1787679300,764.83,765,764.76,764.91,765.2370499373891,765.1069752451939,765.2198366574427,0,0,-1,765.0800720941543,0.07029726992156152,0,0,0,0.6096278000510357,0.9511943154843318,0.20519793141950415,0,20620
1787679600,764.93,765.03,764.84,764.86,765.2350792675561,765.0575801961551,765.185566499591,0,0,-1,765.0714418159522,0.03757139190420306,0,0,0,0.49646531238750086,0.9511943154843318,0.09849846462061479,0,12369
1787679900,764.87,765.06,764.84,764.92,765.2311097261305,765.030064156924,765.1602744520109,0,0,-1,765.0655029212089,0.09890747560701532,0,1,0,0.5963016112038521,0.6096278000510357,0.032329923926138524,0,27991
1787680200,764.92,765.15,764.84,765.12,765.2280917973757,765.0480513255392,765.1564387899145,0,0,-1,765.0676400615537,0.05520254808400602,0,1,0,0.865191494592883,0.865191494592883,0.05973686491620179,0,32804
1787680500,765.13,765.16,764.92,765.04,765.2267687549341,765.0464410604313,765.1453493813513,0,0,-1,765.0665561375712,0.05802733370109383,0,0,0,0.6763382553298194,0.865191494592883,0.04891630155700009,0,14972
1787680800,765.03,765.03,764.81,764.83,765.2218741625591,765.003152848345,765.1153161069368,0,0,-1,765.0572794262939,0.15998809382365006,0,1,0,0.6634966725935675,0.865191494592883,0.05078429152928251,0,31392
