time,open,high,low,close,Session VWAP,EMA 9,EMA 20,Long Fast-Alpha Signal,Short Fast-Alpha Signal
1779824100,748.01341164,748.30266663,747.96354009,748.29269232,747.9912362604015,747.7315784442435,747.5918377118162,0,0
1779824400,748.2727437,748.61187025,748.23284646,748.58194732,747.9982747130173,747.9016522193948,747.6861338649766,0,0
1779824700,748.57197301,748.78143352,748.43233266,748.6617418,748.0142286849203,748.0536701355159,747.7790489064074,0,0
1779825000,748.70163904,748.94102248,748.49217852,748.74153628,748.0445095430721,748.1912433644127,747.8707143705591,0,0
1779825300,748.74153628,748.78143352,748.11315474,748.52210145,748.0813438091345,748.2574149815301,747.9327512352678,0,0
1779888600,748.97992229,749.34996919,748.67171611,748.9609711,748.9942188000001,748.3981262052241,748.0306769366708,0,0
1779888900,748.94102248,749.20035454,748.33258956,748.60189594,748.8735342633132,748.4388801521793,748.0850787465117,0,0
1779889200,748.60189594,748.60189594,747.30523562,747.54461906,748.4940818409763,748.2600279337435,748.0336063954154,0,0
1779889500,747.53464475,748.15305198,747.37505579,747.63438786,748.3417865695053,748.1348999189947,747.9955855825187,0,0
1779889800,747.63438786,748.50215283,747.60446493,748.18297491,748.3025235418388,748.1445149171958,748.013432185136,0,0
1779890100,748.16302629,748.84127938,747.92364285,748.56199869,748.319324523565,748.2280116717567,748.0656766141707,0,0
1779890400,748.57197301,749.36991781,748.28172058,749.31007195,748.3698188300843,748.4444237274054,748.1841904556783,0,0
1779890700,749.32004626,749.3599435,748.23284646,748.69166473,748.3953072731489,748.4938719279243,748.232521338947,1,0
1779891000,748.69166473,748.9609711,748.33258956,748.81135645,748.4090812799383,748.5573688323394,748.2876484923806,0,0
1779891300,748.89115093,749.41978936,748.71161335,749.32004626,748.4495532037695,748.7099043178715,748.3859720892967,0,0
1779891600,749.32004626,749.43973798,748.18297491,748.19294922,748.4575644587477,748.6065132982972,748.3675889588875,0,0
1779891900,748.19294922,748.24282077,747.62441355,748.14307767,748.413775310934,748.5138261726378,748.3462069313744,0,0
1779892200,748.0732575,748.72158766,747.36508148,748.42235835,748.3991606657722,748.4955326081102,748.3534594474339,0,0
1779892500,748.42235835,749.00086834,748.25279508,749.00086834,748.4156288761677,748.5965997544882,748.4151174372021,0,0
1779892800,748.99089403,749.09063713,748.28271801,748.49217852,748.422335333157,748.5757155075906,748.4224565879447,1,0
1779893100,748.50215283,748.64179318,748.0732575,748.0732575,748.418996210801,748.4752239060725,748.38919953195,0,0
1779893400,748.06328319,748.48220421,748.04333457,748.36749965,748.4170219753453,748.4536790548581,748.3871328765262,0,0
1779893700,748.41238404,748.41238404,747.55459337,747.75407958,748.4071038007343,748.3137591598864,748.3268420863808,0,0
1779894000,747.75906673,748.15305198,747.49474751,747.81392544,748.3850589280796,748.2137924159092,748.2779928819635,0,1
1779894300,747.83387406,748.21289784,747.60446493,748.08323181,748.3797737184146,748.1876802947273,748.2594442084433,0,0
1779894600,748.09220869,748.19294922,747.84384837,747.89371992,748.3716725935382,748.1288882197819,748.2246133238297,0,0
1779894900,747.94359147,747.94359147,747.20549252,747.24538976,748.340007407726,747.9521885278255,748.1313539367983,0,0
1779895200,747.21546683,747.574542,746.9860577,747.50472182,748.320302682699,747.8626951862603,748.0716746875794,0,0
1779895500,747.46482458,747.62441355,747.30523562,747.61443924,748.304667871855,747.8130439970083,748.0281284544766,0,0
1779895800,747.61443924,748.2727437,747.61443924,747.93361716,748.2954966860596,747.8371586296066,748.0191273788122,0,0
1779896100,747.93361716,747.98249128,747.17556959,747.19551821,748.2755355838698,747.7088305456853,747.9406884103539,0,0
1779896400,747.20549252,747.51469613,746.61700823,746.69680271,748.2247687410623,747.5064249785482,747.8222231055584,0,0
1779896700,746.69680271,747.12569804,746.44744495,746.73669995,748.1848225354695,747.3524799728386,747.7188399478862,0,0
1779897000,746.75664857,747.35510717,746.66687978,747.13567235,748.1513454213589,747.309118448271,747.6633001766589,0,0
1779897300,747.15562097,747.34513286,746.85639167,747.1855439,748.1331071230953,747.2844035386167,747.6177995788819,0,0
1779897600,747.16559528,747.40497872,746.63695685,746.88531717,748.1027795264175,747.2045862648934,747.5480393494646,0,0
1779897900,746.86636598,747.574542,746.82646874,747.574542,748.0927443358056,747.2785774119146,747.5505634114204,0,0
1779898200,747.54461906,747.79397682,747.50472182,747.63438786,748.0870426076917,747.3497395015316,747.5585466922375,0,0
1779898500,747.69423372,747.89371992,747.39500441,747.47479889,748.0789777254352,747.3747513792254,747.550570711072,0,0
1779898800,747.46482458,747.86379699,747.45485027,747.7740282,748.0745855161198,747.4546067433803,747.5718523766842,0,0
1779899100,747.80395113,747.80395113,747.52467044,747.7740282,748.0676936025108,747.5184910347042,747.591107217,0,0
1779899400,747.72415665,748.04333457,747.55459337,747.85382268,748.0654207627668,747.5855573637633,747.6161277372856,0,0
1779899700,747.89371992,748.24282077,747.8737713,748.14307767,748.065613202692,747.6970614250107,747.6663134451632,0,0
1779900000,748.16302629,748.50215283,748.15305198,748.32261525,748.0695499298959,747.8221721900086,747.7288183789572,0,0
1779900300,748.32261525,748.58194732,748.21289784,748.58194732,748.0742453368016,747.9741272160069,747.8100687542945,0,0
1779900600,748.59192163,748.69166473,748.11315474,748.18297491,748.0775219979168,748.0158967548055,747.8455836262665,1,0
1779900900,748.19294922,748.19294922,747.6742851,747.86379699,748.075718646375,747.9854768018444,747.8473182323363,0,0
1779901200,747.88374561,747.98348871,747.51469613,747.62441355,748.0700691270365,747.9132641514755,747.8260892149709,0,0
1779901500,747.60446493,747.72415665,746.2978303,746.38759909,748.0440692906681,747.6081311391804,747.6890901554499,0,0
1779901800,746.36765047,746.96610908,746.36765047,746.96610908,748.0239351078221,747.4797267273443,747.6202348149309,0,1
1779902100,746.92621184,747.45485027,746.82646874,747.3850301,748.0165029405862,747.4607874018755,747.5978343658899,0,0
1779902400,747.35012002,747.55459337,747.31520993,747.51469613,748.0108474422555,747.4715691475003,747.5899164386623,0,1
1779902700,747.46482458,747.574542,747.22544114,747.22544114,748.0021733323726,747.4223435460002,747.5552045054563,0,0
1779903000,747.24439233,747.6742851,747.24439233,747.6742851,747.9987424315276,747.4727318568001,747.5665455144605,0,0
1779903300,747.64436217,748.01341164,747.60446493,747.73413096,747.997006484466,747.5250116774401,747.5825060330833,0,0
1779903600,747.74410527,747.7740282,747.41495303,747.45485027,747.9938244639088,747.5109793959521,747.5703483413611,0,0
1779903900,747.43490165,747.55459337,747.27531269,747.54461906,747.9890635789851,747.5177073287616,747.5678979336124,0,0
1779904200,747.55459337,747.96354009,747.55459337,747.91865569,747.9874328943195,747.5978970010093,747.6013034342207,0,0
1779904500,747.95356578,748.11315474,747.74410527,747.79397682,747.9864692492201,747.6371129648074,747.6196532804854,0,0
1779904800,747.78400251,747.85382268,747.40497872,747.60446493,747.9795035511995,747.6305833578459,747.6182067709153,0,0
1779905100,747.59449062,747.91366854,747.37505579,747.89371992,747.9756002131585,747.6832106702767,747.6444461184471,0,0
1779905400,747.89371992,748.14307767,747.78400251,748.11315474,747.9759372546112,747.7691994842214,747.6890850347855,0,0
1779905700,748.12312905,748.45228128,747.98348871,748.39243542,747.978909732324,747.8938466713771,747.7560707857583,0,0
1779906000,748.40240973,748.69166473,748.34256387,748.65176749,747.9888075049261,748.0454308351017,747.8413752337814,0,0
1779906300,748.63181887,748.88117662,748.60189594,748.78143352,747.9985275709219,748.1926313720813,747.9309045943736,0,0
1779906600,748.79140783,748.97094541,748.65176749,748.7614849,748.0079370401913,748.3064020776651,748.0100074806237,1,0
1779906900,748.77145921,748.83130507,748.48220421,748.80138214,748.016154860069,748.405398090132,748.0853764958024,0,0
1779907200,748.80138214,748.98091972,748.70163904,748.90112524,748.0227070860747,748.5045435201057,748.1630668523926,0,0
1779907500,748.88616377,749.08066282,748.861228,748.87120231,748.0347538636609,748.5778752780845,748.2305083245457,0,0
1779907800,748.88117662,749.12056006,748.77145921,748.92107386,748.0488902015154,748.6465149944677,748.2962764707794,0,0
1779908100,748.94102248,749.08066282,748.84127938,748.88117662,748.0549852518243,748.6934473195741,748.3519812468957,0,0
1779908400,748.89115093,749.08066282,748.71161335,749.03079127,748.0629530648937,748.7609161096593,748.4166298205247,0,0
1779908700,749.02081696,749.20035454,748.90112524,749.07068851,748.0736602259623,748.8228705897275,748.4789211242843,0,0
1779909000,749.0607142,749.11058575,748.91109955,748.97094541,748.0833958074642,748.852485553782,748.5257805800667,0,0
1779909300,748.97094541,749.08066282,748.85125369,748.91109955,748.0890843673692,748.8642083530256,748.5624776248222,0,0
1779909600,748.94102248,749.04076558,748.75151059,748.82133076,748.0977084874705,748.8556328344205,748.587130304363,0,0
1779909900,748.81135645,748.81135645,748.38246111,748.64179318,748.1061080046885,748.8128649035364,748.5923362925189,0,0
1779910200,748.63181887,748.82133076,748.44230697,748.63181887,748.112464640215,748.776655696829,748.5960965379933,0,0
1779910500,748.63181887,748.9609711,748.60189594,748.83130507,748.120549064027,748.7875855714632,748.6184973505653,0,0
1779910800,748.83130507,748.94102248,748.57197301,748.94102248,748.1305907493563,748.8182729531705,748.6492140295592,0,0
1779911100,748.93104817,748.93104817,748.38246111,748.39243542,748.1391578815576,748.7331054465365,748.6247589238868,0,0
1779911400,748.38246111,748.78143352,748.1730006,748.43233266,748.1528101317812,748.6729508892291,748.6064326130405,0,0
1779911700,748.44230697,748.75151059,748.3176281,748.58194732,748.194444360416,748.6547501753834,748.60410068037,0,0
1779975000,748.29269232,748.49217852,747.56456768,747.75407958,747.9369419266667,748.4746160563067,748.5231462898586,0,0
1779975300,747.76405389,747.76405389,747.31520993,747.47479889,747.7589887697599,748.2746526230453,748.4233036803482,0,0
1779975600,747.4847732,747.7740282,747.30523562,747.60446493,747.6991755368795,748.1406150844363,748.3453190374579,0,1
1779975900,747.58451631,747.92364285,747.34513286,747.44487596,747.6672616142729,748.001467259549,748.2595625538905,0,0
1779976200,747.43490165,748.40240973,747.34513286,747.88374561,747.7250703038668,747.9779229296392,748.2237704639962,0,0
1779976500,747.89371992,748.30266663,747.78400251,748.26276939,747.7506737512995,748.0348922217114,748.2274846474251,0,0
1779976800,748.2727437,748.68069299,748.09320612,748.36251249,747.8057282271051,748.1004162753691,748.240344441956,0,0
1779977100,748.33258956,748.71161335,748.0732575,748.71161335,747.9130996374672,748.2226556902953,748.2852271951031,0,0
1779977400,748.70163904,752.06298154,748.20292353,751.12539639,748.7713310557527,748.8032038302362,748.5557194993789,0,0
